|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_with_T1 |     4.00 | 5958.00 | 48844.00 | 33.00 |      127 |          127 | 21.83 |
|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_with_T1 |     4.00 | 5958.00 | 48844.00 | 33.00 |      127 |          127 | 21.83 |
| c7552_with_T1 |     4.00 |  765.00 | 19907.00 |  5.00 |       17 |            9 | 44.46 |
|     benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     4.00 | 5958.00 | 48844.00 | 33.00 |      127 |          127 |  21.83 |
| c7552_with_T1 |     4.00 |  765.00 | 19907.00 |  5.00 |       17 |            9 |  44.46 |
| c6288_with_T1 |     4.00 | 1349.00 | 35386.00 | 10.00 |      142 |          142 | 346.46 |
|     benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     4.00 | 5958.00 |  48844.00 | 33.00 |      127 |          127 |  21.83 |
| c7552_with_T1 |     4.00 |  765.00 |  19907.00 |  5.00 |       17 |            9 |  44.46 |
| c6288_with_T1 |     4.00 | 1349.00 |  35386.00 | 10.00 |      142 |          142 | 346.46 |
|   sin_with_T1 |     4.00 | 4714.00 | 102806.00 | 25.00 |       81 |           77 | 435.70 |
|     benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_with_T1 |     4.00 | 5958.00 |  48844.00 | 33.00 |      127 |          127 |  21.83 |
| c7552_with_T1 |     4.00 |  765.00 |  19907.00 |  5.00 |       17 |            9 |  44.46 |
| c6288_with_T1 |     4.00 | 1349.00 |  35386.00 | 10.00 |      142 |          142 | 346.46 |
|   sin_with_T1 |     4.00 | 4714.00 | 102806.00 | 25.00 |       81 |           77 | 435.70 |
| voter_with_T1 |     4.00 | 5584.00 | 182972.00 | 11.00 |      252 |          252 | 549.07 |
|      benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|  adder_with_T1 |     4.00 |  5958.00 |  48844.00 | 33.00 |      127 |          127 |  21.83 |
|  c7552_with_T1 |     4.00 |   765.00 |  19907.00 |  5.00 |       17 |            9 |  44.46 |
|  c6288_with_T1 |     4.00 |  1349.00 |  35386.00 | 10.00 |      142 |          142 | 346.46 |
|    sin_with_T1 |     4.00 |  4714.00 | 102806.00 | 25.00 |       81 |           77 | 435.70 |
|  voter_with_T1 |     4.00 |  5584.00 | 182972.00 | 11.00 |      252 |          252 | 549.07 |
| square_with_T1 |     4.00 | 14304.00 | 301287.00 | 32.00 |      861 |          806 | 726.31 |
|          benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|      adder_with_T1 |     4.00 |  5958.00 |  48844.00 | 33.00 |      127 |          127 |  21.83 |
|      c7552_with_T1 |     4.00 |   765.00 |  19907.00 |  5.00 |       17 |            9 |  44.46 |
|      c6288_with_T1 |     4.00 |  1349.00 |  35386.00 | 10.00 |      142 |          142 | 346.46 |
|        sin_with_T1 |     4.00 |  4714.00 | 102806.00 | 25.00 |       81 |           77 | 435.70 |
|      voter_with_T1 |     4.00 |  5584.00 | 182972.00 | 11.00 |      252 |          252 | 549.07 |
|     square_with_T1 |     4.00 | 14304.00 | 301287.00 | 32.00 |      861 |          806 | 726.31 |
| multiplier_with_T1 |     4.00 | 13745.00 | 356984.00 | 36.00 |      824 |          769 | 723.55 |
|          benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |    time |
|      adder_with_T1 |     4.00 |  5958.00 |  48844.00 | 33.00 |      127 |          127 |   21.83 |
|      c7552_with_T1 |     4.00 |   765.00 |  19907.00 |  5.00 |       17 |            9 |   44.46 |
|      c6288_with_T1 |     4.00 |  1349.00 |  35386.00 | 10.00 |      142 |          142 |  346.46 |
|        sin_with_T1 |     4.00 |  4714.00 | 102806.00 | 25.00 |       81 |           77 |  435.70 |
|      voter_with_T1 |     4.00 |  5584.00 | 182972.00 | 11.00 |      252 |          252 |  549.07 |
|     square_with_T1 |     4.00 | 14304.00 | 301287.00 | 32.00 |      861 |          806 |  726.31 |
| multiplier_with_T1 |     4.00 | 13745.00 | 356984.00 | 36.00 |      824 |          769 |  723.55 |
|       log2_with_T1 |     4.00 | 33946.00 | 598292.00 | 47.00 |      644 |          593 | 1165.58 |
