|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     7.00 | 4411.00 | 39920.00 | 19.00 |        0 |            0 | 22.44 |
|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     7.00 | 4411.00 | 39920.00 | 19.00 |        0 |            0 | 22.44 |
| c7552_no_T1 |     7.00 |  605.00 | 18850.00 |  3.00 |        0 |            0 | 43.20 |
|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |  time |
| adder_no_T1 |     7.00 | 4411.00 | 39920.00 | 19.00 |        0 |            0 | 22.44 |
| c7552_no_T1 |     7.00 |  605.00 | 18850.00 |  3.00 |        0 |            0 | 43.20 |
| c6288_no_T1 |     7.00 | 1293.00 | 37874.00 |  5.00 |        0 |            0 | 78.60 |
|   benchmark | N_PHASES |    #DFF |     area | delay | found_FA | committed_FA |   time |
| adder_no_T1 |     7.00 | 4411.00 | 39920.00 | 19.00 |        0 |            0 |  22.44 |
| c7552_no_T1 |     7.00 |  605.00 | 18850.00 |  3.00 |        0 |            0 |  43.20 |
| c6288_no_T1 |     7.00 | 1293.00 | 37874.00 |  5.00 |        0 |            0 |  78.60 |
|   sin_no_T1 |     7.00 | 3645.00 | 96541.00 | 13.00 |        0 |            0 | 448.94 |
|   benchmark | N_PHASES |    #DFF |      area | delay | found_FA | committed_FA |   time |
| adder_no_T1 |     7.00 | 4411.00 |  39920.00 | 19.00 |        0 |            0 |  22.44 |
| c7552_no_T1 |     7.00 |  605.00 |  18850.00 |  3.00 |        0 |            0 |  43.20 |
| c6288_no_T1 |     7.00 | 1293.00 |  37874.00 |  5.00 |        0 |            0 |  78.60 |
|   sin_no_T1 |     7.00 | 3645.00 |  96541.00 | 13.00 |        0 |            0 | 448.94 |
| voter_no_T1 |     7.00 | 5574.00 | 186562.00 |  6.00 |        0 |            0 | 580.16 |
|    benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|  adder_no_T1 |     7.00 |  4411.00 |  39920.00 | 19.00 |        0 |            0 |  22.44 |
|  c7552_no_T1 |     7.00 |   605.00 |  18850.00 |  3.00 |        0 |            0 |  43.20 |
|  c6288_no_T1 |     7.00 |  1293.00 |  37874.00 |  5.00 |        0 |            0 |  78.60 |
|    sin_no_T1 |     7.00 |  3645.00 |  96541.00 | 13.00 |        0 |            0 | 448.94 |
|  voter_no_T1 |     7.00 |  5574.00 | 186562.00 |  6.00 |        0 |            0 | 580.16 |
| square_no_T1 |     7.00 | 13283.00 | 305567.00 | 18.00 |        0 |            0 | 859.91 |
|        benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |   time |
|      adder_no_T1 |     7.00 |  4411.00 |  39920.00 | 19.00 |        0 |            0 |  22.44 |
|      c7552_no_T1 |     7.00 |   605.00 |  18850.00 |  3.00 |        0 |            0 |  43.20 |
|      c6288_no_T1 |     7.00 |  1293.00 |  37874.00 |  5.00 |        0 |            0 |  78.60 |
|        sin_no_T1 |     7.00 |  3645.00 |  96541.00 | 13.00 |        0 |            0 | 448.94 |
|      voter_no_T1 |     7.00 |  5574.00 | 186562.00 |  6.00 |        0 |            0 | 580.16 |
|     square_no_T1 |     7.00 | 13283.00 | 305567.00 | 18.00 |        0 |            0 | 859.91 |
| multiplier_no_T1 |     7.00 |  9760.00 | 340093.00 | 19.00 |        0 |            0 | 835.08 |
|        benchmark | N_PHASES |     #DFF |      area | delay | found_FA | committed_FA |    time |
|      adder_no_T1 |     7.00 |  4411.00 |  39920.00 | 19.00 |        0 |            0 |   22.44 |
|      c7552_no_T1 |     7.00 |   605.00 |  18850.00 |  3.00 |        0 |            0 |   43.20 |
|      c6288_no_T1 |     7.00 |  1293.00 |  37874.00 |  5.00 |        0 |            0 |   78.60 |
|        sin_no_T1 |     7.00 |  3645.00 |  96541.00 | 13.00 |        0 |            0 |  448.94 |
|      voter_no_T1 |     7.00 |  5574.00 | 186562.00 |  6.00 |        0 |            0 |  580.16 |
|     square_no_T1 |     7.00 | 13283.00 | 305567.00 | 18.00 |        0 |            0 |  859.91 |
| multiplier_no_T1 |     7.00 |  9760.00 | 340093.00 | 19.00 |        0 |            0 |  835.08 |
|       log2_no_T1 |     7.00 | 26307.00 | 553432.00 | 23.00 |        0 |            0 | 1256.86 |
